year,month,x,y,utmk_x,utmk_y,longitude,latitude,labels
2014,08,2589.5,821.5,945133.4278427882,1940524.7426649735,126.87741862837834,37.4650521784829,{승합차}{시내버스}{차량단독}
2014,08,2602.5,879.5,945185.3261191321,1940292.7469902663,126.8780227490868,37.46296425735005,{승용차}{화물차}
2014,08,2615.5,1028.5,945237.2243954759,1939696.758101794,126.87865391962247,37.457595615053165,{고령운전자}{승용차}{음주운전}
2014,08,2630.5,1479.5,945297.1070220266,1937892.7917346733,126.87946499228089,37.44133975761827,{승용차}{승합차}{시내버스}
2014,08,2644.5,1416.5,945352.9974734739,1938144.7870365107,126.88007807675895,37.44361433808841,{사업용자동차}{화물차}
2014,08,2646.5,1407.5,945360.9818236806,1938180.7863653444,126.88016566321006,37.44393927785158,{화물차}
2014,08,2685.5,2200.5,945516.6766527123,1935008.8455025358,126.88216015641414,37.41535920573656,{승용차}{음주운전}
2014,08,2712.5,1319.5,945624.4653805034,1938532.7798028314,126.8831181701672,37.44712739670955,{승용차}
2014,08,2727.5,1291.5,945684.3480070541,1938644.777714759,126.883786869,37.4481403744806,{승용차}{신호위반}
2014,08,2747.5,1042.5,945764.1915091216,1939640.7591458303,126.88461612095237,37.45712199382706,{승용차}
2014,08,2761.5,2007.5,945820.0819605688,1935780.8311097515,126.88553191893652,37.42233509388499,{승용차}
2014,08,2761.5,2008.5,945820.0819605688,1935776.8311843255,126.8855322128642,37.422299041775645,{승합차}{시내버스}
2014,08,2764.5,2018.5,945832.058485879,1935736.8319300655,126.8856704987501,37.42193922248975,{승용차}
2014,08,2784.5,2149.5,945911.9019879465,1935212.8416992612,126.88661124394623,37.417221067865704,{승용차}{택시}
2014,08,2827.5,1379.5,946083.5655173917,1938292.7842772722,126.88832576847686,37.44499119141783,{고령운전자}{승용차}
2014,08,2828.5,1313.5,946087.5576924951,1938556.7793553874,126.88835157150203,37.44737085522715,{승합차}{차대사람}
2014,08,2889.5,1293.5,946331.0803738009,1938636.7778639072,126.89109872294095,37.448106077531435,{승용차}
2014,08,2921.5,1352.5,946458.829977109,1938400.7822637737,126.89256008335327,37.44598642381488,{승용차}
2014,08,2922.5,1190.5,946462.8221522124,1939048.770182784,126.89255809932057,37.451827078131885,{승용차}{음주운전}{택시}
2014,08,2922.5,1352.5,946462.8221522124,1938400.7822637737,126.89260521339313,37.445986655217546,{승합차}
2014,08,2927.5,1356.5,946482.7830277293,1938384.7825620698,126.8928320263053,37.44584360391892,{승용차}{화물차}
2014,08,2947.5,2065.5,946562.6265297967,1935548.8354350443,126.8939402772358,37.420287288383946,{승용차}
2014,08,2980.5,1512.5,946694.3683082082,1937760.7941956157,126.89526907474796,37.440231719623995,{승용차}{화물차}
2014,09,1747.5,660.5,941772.0164057456,1941168.7306585577,126.83935882026584,37.470650556858104,{승용차}{음주운전}
2014,09,1760.5,559.5,941823.9146820896,1941572.7231265826,126.83991374487243,37.474295029244175,{고령운전자}{승용차}
2014,09,1878.5,656.5,942294.9913442879,1941184.7303602616,126.84527148607899,37.470827609294766,{승용차}
2014,09,1902.5,1482.5,942390.803546769,1937880.7919583954,126.84661351633898,37.441054948346185,{고령운전자}{승용차}{음주운전}
2014,09,1902.5,1499.5,942390.803546769,1937812.7932261536,126.84661883380748,37.440442069028514,{승용차}{승합차}{음주운전}
2014,09,1905.5,1466.5,942402.780072079,1937944.7907652112,126.84674389259386,37.44163252259694,{승용차}
2014,09,1906.5,1467.5,942406.7722471824,1937940.7908397852,126.84678933234021,37.44159671974759,{승합차}
2014,09,1911.5,1754.5,942426.7331226993,1936792.8122425266,126.8471046636524,37.43125111034885,{승용차}{화물차}
