대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도,labels
경기도 광명시 노온사동 542-3,20080826.0,20080826.0,20081110.0,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,,37.4415295,126.8392983,단독주택
경기도 광명시 노온사동 407,20080901.0,20080901.0,20081226.0,901.0,497.01,55.16,494.75,494.75,54.91,제2종근린생활시설,소매점,37.4426063,126.8474277,제2종근린생활시설
경기도 광명시 가학동 300-7,20080903.0,20080903.0,20090717.0,341.0,183.64,53.85,321.35,321.35,94.24,제2종근린생활시설,,37.4189914,126.8565523,제2종근린생활시설
경기도 광명시 노온사동 802,20080904.0,20080904.0,20100526.0,496.0,262.82,52.99,398.92,398.92,80.43,제1종근린생활시설,소매점,37.4317788,126.8534263,제1종근린생활시설
경기도 광명시 노온사동 802-3,20080904.0,20080904.0,20100526.0,493.0,261.4,53.02,397.94,397.94,80.72,제1종근린생활시설,소매점,37.43168790000001,126.8532619,제1종근린생활시설
경기도 광명시 광명동 752-4,20080906.0,,,351.3,165.42,47.09,298.3,298.3,84.91,제1종근린생활시설,,37.4689389,126.8485567,제1종근린생활시설
경기도 광명시 하안동 327-3,20080922.0,,,20294.0,171.0,0.8426,280.0,280.0,1.3797,관광휴게시설,,37.4590598,126.8698947,관광휴게시설
경기도 광명시 가학동 782-2,20080923.0,20080923.0,20100510.0,622.0,306.84,49.33,406.14,406.14,65.3,제1종근린생활시설,소매점및단독주택,37.4125848,126.8603568,제1종근린생활시설
경기도 광명시 노온사동 572-63,20080923.0,20080923.0,20090724.0,308.0,161.85,52.55,275.05,275.05,89.3,제1종근린생활시설,단독주택,37.4373505,126.8435073,제1종근린생활시설
경기도 광명시 가학동 792-2,20080923.0,20080923.0,20090704.0,546.0,297.39,54.47,394.22,394.22,72.2,제2종근린생활시설,단독주택,37.4121993,126.8612273,제2종근린생활시설
경기도 광명시 가학동 314-3,20080924.0,20080924.0,20100610.0,284.0,145.13,51.1,145.13,145.13,51.1,제2종근린생활시설,수리점,37.4200849,126.8568404,제2종근린생활시설
경기도 광명시 노온사동 787,20080926.0,20080926.0,20090921.0,371.0,205.0,55.26,474.06,474.06,127.78,제1종근린생활시설,,37.4316509,126.852287,제1종근린생활시설
경기도 광명시 가학동 538-7,20080926.0,20080926.0,20090202.0,309.0,182.41,59.03,182.41,182.41,59.03,제1종근린생활시설,,37.41617610000001,126.8521944,제1종근린생활시설
