,spot_idx,longitude,latitude,utmk_x,utmk_y,year,month,이전 3달 평균 250m 사고빈도,전년도 같은 달 250m 사고빈도,전년도 평균 250m 사고빈도,3년 평균 250m 사고빈도,1500m 내 공사 수,2000m 내 대규모 공사,predicted,rounded_predicted,acci_rate
6099,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,4,0.6666666666666666,3,0.5833333333333334,0.1388888888888889,30,5,0.20990363360655495,0.0,0
6100,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,5,0.6666666666666666,0,0.5,0.2222222222222222,30,5,0.11144378747989325,0.0,0
6101,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,6,0.3333333333333333,1,0.5,0.2222222222222222,30,5,0.009822100162329317,0.0,0
6102,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,7,0.0,0,0.5,0.25,26,5,0.11880821027111876,0.0,2
6103,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,8,0.6666666666666666,0,0.5833333333333334,0.25,25,5,0.0930099645469964,0.0,0
6104,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,9,0.6666666666666666,0,0.16666666666666666,0.25,25,5,0.04078151900626237,0.0,0
6105,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,10,0.6666666666666666,0,0.16666666666666666,0.25,25,6,0.061961060437523585,0.0,0
6106,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,11,0.0,0,0.16666666666666666,0.25,24,6,0.09290108476247827,0.0,1
6107,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2016,12,0.3333333333333333,1,0.3333333333333333,0.25,23,6,-0.04272732063151263,-0.0,0
6108,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,1,0.3333333333333333,0,0.3333333333333333,0.2777777777777778,22,6,0.007183925905867028,0.0,0
6109,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,2,0.3333333333333333,1,0.5833333333333334,0.2777777777777778,23,6,-0.01566121906270901,-0.0,0
6110,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,3,0.0,1,0.75,0.3055555555555556,20,6,0.09966618264717075,0.0,0
6111,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,4,0.0,0,0.75,0.3333333333333333,22,6,0.08401987640421638,0.0,0
6112,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,5,0.0,0,0.5,0.3333333333333333,22,6,0.05999886715771474,0.0,1
6113,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,6,0.3333333333333333,0,0.5,0.3333333333333333,24,6,0.03360261297893308,0.0,0
6114,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,7,0.3333333333333333,2,0.5,0.3333333333333333,26,6,0.057997967885802915,0.0,0
6115,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,8,0.3333333333333333,0,0.5,0.3888888888888889,26,5,0.08137967803196311,0.0,0
6116,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,9,0.0,0,0.08333333333333333,0.3611111111111111,25,4,0.0958214169722531,0.0,1
6117,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,10,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,24,3,0.11415305655765051,0.0,1
6118,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,11,0.6666666666666666,1,0.25,0.3333333333333333,22,3,0.332959563880983,0.0,0
6119,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2017,12,0.6666666666666666,0,0.25,0.3611111111111111,25,3,0.20930360500775436,0.0,0
6120,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,1,0.3333333333333333,0,0.16666666666666666,0.3611111111111111,22,3,0.13275455361512023,0.0,2
6121,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,2,0.6666666666666666,0,0.5,0.3611111111111111,23,3,0.2591629916330702,0.0,0
6122,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,3,0.6666666666666666,0,0.4166666666666667,0.3611111111111111,22,2,0.21663612182255365,0.0,0
6123,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,4,0.6666666666666666,0,0.3333333333333333,0.3611111111111111,22,2,0.21398272599783041,0.0,0
6124,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,5,0.0,1,0.4166666666666667,0.3333333333333333,22,2,0.14229683870934817,0.0,0
6125,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,6,0.0,0,0.5,0.3611111111111111,24,2,0.030471656377781375,0.0,0
6126,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,7,0.0,0,0.5,0.3611111111111111,23,2,0.03597654160624808,0.0,0
6127,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,8,0.0,0,0.3333333333333333,0.3611111111111111,23,2,0.04023924631418385,0.0,0
6128,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,9,0.0,1,0.08333333333333333,0.3611111111111111,22,2,0.1786468220382731,0.0,0
6129,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,10,0.0,1,0.08333333333333333,0.3888888888888889,21,2,0.19585584642801068,0.0,0
6130,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,11,0.0,0,0.08333333333333333,0.4166666666666667,19,2,0.1004568695428123,0.0,0
6131,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2018,12,0.0,0,0.0,0.3888888888888889,19,2,0.09408128448107522,0.0,0
6132,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,1,0.0,2,0.08333333333333333,0.3888888888888889,15,1,0.3194213500806069,0.0,1
6133,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,2,0.3333333333333333,0,0.4166666666666667,0.4166666666666667,12,1,0.11414044041150495,0.0,0
6134,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,3,0.3333333333333333,0,0.4166666666666667,0.4166666666666667,12,1,0.11414044041150495,0.0,1
6135,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,4,0.6666666666666666,0,0.4166666666666667,0.4166666666666667,11,1,0.17455281666745703,0.0,2
6136,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,5,1.0,0,0.4166666666666667,0.3333333333333333,15,1,0.21724618178513078,0.0,0
6137,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,6,1.0,0,0.3333333333333333,0.3333333333333333,13,1,0.20910703520783702,0.0,1
6138,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,7,1.0,0,0.3333333333333333,0.3055555555555556,13,1,0.19740835185995254,0.0,0
6139,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,8,0.3333333333333333,0,0.3333333333333333,0.3055555555555556,10,1,0.06941355288430984,0.0,0
6140,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,9,0.3333333333333333,0,0.3333333333333333,0.3055555555555556,9,1,0.0732990733705976,0.0,0
6141,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,10,0.0,0,0.25,0.3055555555555556,9,1,0.0663279453450718,0.0,0
